Schema,Object,Bucket,PickReason,CurrentQuality,InfHits,T4InfHits,Dormant,HasUpstreamLog,MTime,CurrentPath
BI_DB_dbo,BI_DB_DailyPanel_Copy,newbuild,"in-scope newbuild (kind=seed_dwh_internal, hops=0, mapped_uc=Y)",,,0,False,False,,
BI_DB_dbo,BI_DB_DailyZeroPnL_Stocks,newbuild,"in-scope newbuild (kind=seed_dwh_internal, hops=0, mapped_uc=Y)",,,0,False,False,,
BI_DB_dbo,BI_DB_DDR_Daily_Aggregated,newbuild,"in-scope newbuild (kind=seed_dwh_internal, hops=0, mapped_uc=Y)",,,0,False,False,,
BI_DB_dbo,BI_DB_Deposit_Reversals_PIPs,newbuild,"in-scope newbuild (kind=seed_dwh_internal, hops=0, mapped_uc=Y)",,,0,False,False,,
BI_DB_dbo,BI_DB_DepositWithdrawFee_Reversals,newbuild,"in-scope newbuild (kind=seed_dwh_internal, hops=0, mapped_uc=Y)",,,0,False,False,,
BI_DB_dbo,BI_DB_Social_Activity,newbuild,"in-scope newbuild (kind=seed_dwh_internal, hops=0, mapped_uc=Y)",,,0,False,False,,
BI_DB_dbo,BI_DB_SpreadedPriceCandle60MinSplitted,newbuild,"in-scope newbuild (kind=seed_dwh_internal, hops=0, mapped_uc=Y)",,,0,False,False,,
BI_DB_dbo,BI_DB_Withdraw_Rollback_PIPs,newbuild,"in-scope newbuild (kind=seed_dwh_internal, hops=0, mapped_uc=Y)",,,0,False,False,,
BI_DB_dbo,V_BI_DB_AllDeposits,newbuild,"in-scope newbuild (kind=seed_dwh_internal, hops=0, mapped_uc=Y)",,,0,False,False,,
BI_DB_dbo,V_BI_DB_KYC_Score_CID_Level,newbuild,"in-scope newbuild (kind=seed_dwh_internal, hops=0, mapped_uc=Y)",,,0,False,False,,
BI_DB_dbo,V_BI_DB_Outliers_New,newbuild,"in-scope newbuild (kind=seed_dwh_internal, hops=0, mapped_uc=Y)",,,0,False,False,,
