"Schema","Object","Action","Reason","Files"
"BI_DB_dbo","BI_DB_Adwords_Dictionary_AdGroup","dry_run","BETTER","3"
"BI_DB_dbo","BI_DB_CID_Daily_AcquisitionFunnel_VBT","dry_run","BETTER","3"
"BI_DB_dbo","BI_DB_CIDFirstDates","dry_run","BETTER","3"
"Dealing_dbo","Dealing_Apex_PnL","dry_run","BETTER","3"
"Dealing_dbo","Dealing_Apex_PnL_Daily","dry_run","BETTER","3"
"Dealing_dbo","Dealing_Apex_PnL_EE_Daily","dry_run","BETTER","3"
"Dealing_dbo","Dealing_Boundary_Cost","dry_run","BETTER","3"
"Dealing_dbo","Dealing_CEPDailyAudit_Conditions","dry_run","BETTER","3"
"Dealing_dbo","Dealing_CEPDailyAudit_ConditionToCP","dry_run","BETTER","3"
"Dealing_dbo","Dealing_CEPDailyAudit_CP","dry_run","BETTER","3"
"Dealing_dbo","Dealing_CEPDailyAudit_CPToRule","dry_run","BETTER","3"
"Dealing_dbo","Dealing_CEPDailyAudit_ListCIDMapping","dry_run","BETTER","3"
"Dealing_dbo","Dealing_CEPDailyAudit_NameLists","dry_run","BETTER","3"
"Dealing_dbo","Dealing_CEPDailyAudit_Rules","dry_run","BETTER","3"
"Dealing_dbo","Dealing_CEPWeeklyAudit_Conditions","dry_run","BETTER","3"
"Dealing_dbo","Dealing_CEPWeeklyAudit_CP","dry_run","BETTER","3"
"Dealing_dbo","Dealing_CEPWeeklyAudit_ListCIDMapping","dry_run","BETTER","3"
"Dealing_dbo","Dealing_HedgeCost","dry_run","BETTER","3"
"Dealing_dbo","Dealing_IGReconEODHolding","dry_run","BETTER","3"
"DWH_dbo","Dim_ActionType","dry_run","BETTER","3"
"DWH_dbo","Dim_CardType","dry_run","BETTER","3"
"DWH_dbo","Dim_CashoutReason","dry_run","BETTER","3"
"DWH_dbo","Dim_Channel","dry_run","BETTER","3"
"DWH_dbo","Dim_HistorySplitRatio","dry_run","BETTER","3"
"DWH_dbo","Dim_Instrument","dry_run","BETTER","3"
"DWH_dbo","Dim_MoveMoneyReason","dry_run","BETTER","3"
