source_id,source_label,scope,target_date,target_dateid,poll_at_utc,elapsed_ms,row_count,fingerprint_json
BI_DB_PositionPnL,BI_DB_dbo.BI_DB_PositionPnL,WHERE DateID = @dateid (crypto + non-crypto; SP filters crypto downstream),2026-06-17,20260617,2026-06-18T04:00:02,369,0,"{""row_count"": 0, ""distinct_cids"": 0, ""distinct_instruments"": 0, ""distinct_positions"": 0, ""sum_nop"": 0.0, ""sum_units"": 0.0, ""sum_amount"": 0.0, ""sum_position_pnl"": 0.0}"
BI_DB_PositionPnL_crypto_only,BI_DB_dbo.BI_DB_PositionPnL (joined to crypto Dim_Instrument),Exactly what #pnl_posDist produces in the SP,2026-06-17,20260617,2026-06-18T04:00:02,593,0,"{""row_count"": 0, ""distinct_cids"": 0, ""distinct_instruments"": 0, ""sum_nop"": 0.0, ""sum_units"": 0.0}"
Dim_Position_matched_to_crypto_PnL,DWH_dbo.Dim_Position (intersected with crypto PositionPnL @dateid),Mirrors the SP's #pos join: only positions whose PositionID is in crypto PositionPnL @dateid AND satisfy OpenDateID <= @dateid AND (CloseDateID > @dateid OR CloseDateID = 0),2026-06-17,20260617,2026-06-18T04:00:02,1780,0,"{""row_count"": 0, ""distinct_positions"": 0, ""opened_on_date"": null, ""closed_on_date"": null, ""sum_initial_amount_cents"": 0.0}"
Dim_Instrument_crypto,DWH_dbo.Dim_Instrument (InstrumentTypeID = 10),All-time crypto instruments referenced by the SP,2026-06-17,20260617,2026-06-18T04:00:02,1579,823,"{""row_count"": 823, ""max_instrument_id"": 228002, ""distinct_buy_currencies"": 706, ""distinct_sell_currencies"": 24}"
Fact_CurrencyPriceWithSplit,DWH_dbo.Fact_CurrencyPriceWithSplit,WHERE OccurredDateID = @dateid (drives EOD_Bid_Price),2026-06-17,20260617,2026-06-18T04:00:02,435,16017,"{""row_count"": 16017, ""distinct_instruments"": 16017, ""sum_bid"": 20989787.485843, ""sum_ask"": 21022744.483931, ""max_bid"": 10350485.14}"
Fact_CurrencyPriceWithSplit_crypto,DWH_dbo.Fact_CurrencyPriceWithSplit (joined to crypto Dim_Instrument),Subset actually used in #NOP_1/#NOP_2 inner join,2026-06-17,20260617,2026-06-18T04:00:02,638,795,"{""row_count"": 795, ""distinct_instruments"": 795, ""sum_bid"": 13958210.728553}"
Fact_SnapshotCustomer,DWH_dbo.Fact_SnapshotCustomer @ @dateid (via Dim_Range),Exactly what #fsc selects,2026-06-17,20260617,2026-06-18T04:00:02,1269,48123573,"{""row_count"": 48123573, ""distinct_real_cids"": 48123573, ""sum_iscb_valid"": 47363563, ""dlt_user_count"": 98461}"
Dim_Customer,"DWH_dbo.Dim_Customer (TanganyStatusID, RegisteredReal)",Full table size + Tangany distribution + registrations <= @date,2026-06-17,20260617,2026-06-18T04:00:02,1653,48123573,"{""row_count"": 48123573, ""distinct_tangany_statuses"": 6, ""registered_real_le_date"": 48103553, ""registered_real_eq_date"": 20020}"
V_GermanBaFin,BI_DB_dbo.V_GermanBaFin @ @dateid,WHERE DateID = @dateid (drives IsGermanBaFin flag),2026-06-17,20260617,2026-06-18T04:00:02,5525,152550,"{""row_count"": 152550, ""distinct_cids"": 152550}"
External_TanganyStatus_dict,BI_DB_dbo.External_UserApiDB_Dictionary_TanganyStatus,Tangany status lookup (full table),2026-06-17,20260617,2026-06-18T04:00:02,2881,6,"{""row_count"": 6, ""max_id"": 6, ""distinct_names"": 6}"
Apex_Enrolment_optout_general,"Apex UserProgramEnrolment + History — opt-out (UserProgramID=2, status=2)",Exactly what #opt_out_general selects,2026-06-17,20260617,2026-06-18T04:00:02,20637,1581877,"{""row_count"": 1581877, ""distinct_gcids"": 1581877}"
Apex_Enrolment_optin_ETH,"Apex UserProgramEnrolment + History — opt-in ETH (UserProgramID=3, status=1)",Exactly what #opt_in_ETH selects,2026-06-17,20260617,2026-06-18T04:00:02,19520,368303,"{""row_count"": 368303, ""distinct_gcids"": 368303}"
BI_DB_Client_Balance_CID_Level_New,BI_DB_dbo.BI_DB_Client_Balance_CID_Level_New @ @dateid,TanganyStatus patch source (UPDATE after #fsc),2026-06-17,20260617,2026-06-18T04:00:02,380,0,"{""row_count"": 0, ""distinct_cids"": 0, ""distinct_tangany_values"": 0, ""sum_total_real_crypto"": 0.0, ""sum_position_pnl_crypto_real"": 0.0}"
Dim_Range,DWH_dbo.Dim_Range,Anchors @DateID -> DateRangeID join used in #fsc,2026-06-17,20260617,2026-06-18T04:00:02,486,1330136,"{""row_count"": 1330136, ""max_id"": 202606171231}"
Dim_Regulation,DWH_dbo.Dim_Regulation,INNER joined in #fsc,2026-06-17,20260617,2026-06-18T04:00:02,41,15,"{""row_count"": 15, ""max_id"": 14}"
Dim_Label,DWH_dbo.Dim_Label,INNER joined in #fsc,2026-06-17,20260617,2026-06-18T04:00:02,222,26,"{""row_count"": 26, ""max_id"": 31}"
Dim_MifidCategorization,DWH_dbo.Dim_MifidCategorization,INNER joined in #fsc,2026-06-17,20260617,2026-06-18T04:00:02,170,6,"{""row_count"": 6, ""max_id"": 5}"
Dim_AccountType,DWH_dbo.Dim_AccountType,INNER joined in #fsc,2026-06-17,20260617,2026-06-18T04:00:02,45,19,"{""row_count"": 19, ""max_id"": 18}"
Dim_PlayerLevel,DWH_dbo.Dim_PlayerLevel,INNER joined in #fsc,2026-06-17,20260617,2026-06-18T04:00:02,38,8,"{""row_count"": 8, ""max_id"": 7}"
Dim_PlayerStatus,DWH_dbo.Dim_PlayerStatus,INNER joined in #fsc,2026-06-17,20260617,2026-06-18T04:00:02,38,16,"{""row_count"": 16, ""max_id"": 15}"
Dim_Country,DWH_dbo.Dim_Country,INNER joined in #fsc,2026-06-17,20260617,2026-06-18T04:00:02,37,251,"{""row_count"": 251, ""max_id"": 250}"
TARGET_BI_DB_Crypto_NOP,BI_DB_dbo.BI_DB_Crypto_NOP @ @date  (the SP's INSERT target — instrument level),What ended up in the table for @date as of this poll,2026-06-17,20260617,2026-06-18T04:00:02,269,0,"{""row_count"": 0, ""distinct_instruments"": 0, ""sum_total_nop"": 0.0, ""sum_real_nop"": 0.0, ""sum_cfd_nop"": 0.0, ""sum_total_units"": 0.0, ""max_update_date"": null}"
TARGET_BI_DB_Crypto_NOP_CID,BI_DB_dbo.BI_DB_Crypto_NOP_CID @ @date  (the SP's INSERT target — CID level),What ended up in the table for @date as of this poll,2026-06-17,20260617,2026-06-18T04:00:02,253,0,"{""row_count"": 0, ""distinct_cids"": 0, ""sum_total_nop"": 0.0, ""sum_equity_real"": 0.0, ""distinct_tangany_values"": 0, ""max_update_date"": null}"
SP_Crypto_NOP_run_history,BI_DB_dbo.DataSolutionsProcessesStatus — SP_Crypto_NOP runs for @dateid,Number of runs and most-recent timestamps for @dateid,2026-06-17,20260617,2026-06-18T04:00:02,193,0,"{""row_count"": 0, ""start_count"": null, ""complete_count"": null, ""last_event_ts"": null}"
