source_id,source_label,scope,target_date,target_dateid,poll_at_utc,elapsed_ms,row_count,fingerprint_json
BI_DB_PositionPnL,BI_DB_dbo.BI_DB_PositionPnL,WHERE DateID = @dateid (crypto + non-crypto; SP filters crypto downstream),2026-06-06,20260606,2026-06-07T04:00:02,7926,139954304,"{""row_count"": 139954304, ""distinct_cids"": 2765401, ""distinct_instruments"": 10487, ""distinct_positions"": 139954304, ""sum_nop"": 14790283025.0192, ""sum_units"": 14110987767.347738, ""sum_amount"": 15024469619.074, ""sum_position_pnl"": -828510861.32}"
BI_DB_PositionPnL_crypto_only,BI_DB_dbo.BI_DB_PositionPnL (joined to crypto Dim_Instrument),Exactly what #pnl_posDist produces in the SP,2026-06-06,20260606,2026-06-07T04:00:02,2944,24412234,"{""row_count"": 24412234, ""distinct_cids"": 1610402, ""distinct_instruments"": 290, ""sum_nop"": 3471699191.491, ""sum_units"": 11456598893.440355}"
Dim_Position_matched_to_crypto_PnL,DWH_dbo.Dim_Position (intersected with crypto PositionPnL @dateid),Mirrors the SP's #pos join: only positions whose PositionID is in crypto PositionPnL @dateid AND satisfy OpenDateID <= @dateid AND (CloseDateID > @dateid OR CloseDateID = 0),2026-06-06,20260606,2026-06-07T04:00:02,3929,24412234,"{""row_count"": 24412234, ""distinct_positions"": 24412234, ""opened_on_date"": 27058, ""closed_on_date"": 0, ""sum_initial_amount_cents"": 549760555230.0}"
Dim_Instrument_crypto,DWH_dbo.Dim_Instrument (InstrumentTypeID = 10),All-time crypto instruments referenced by the SP,2026-06-06,20260606,2026-06-07T04:00:02,62,823,"{""row_count"": 823, ""max_instrument_id"": 228002, ""distinct_buy_currencies"": 706, ""distinct_sell_currencies"": 24}"
Fact_CurrencyPriceWithSplit,DWH_dbo.Fact_CurrencyPriceWithSplit,WHERE OccurredDateID = @dateid (drives EOD_Bid_Price),2026-06-06,20260606,2026-06-07T04:00:02,213,16013,"{""row_count"": 16013, ""distinct_instruments"": 16013, ""sum_bid"": 20034284.729536, ""sum_ask"": 20078468.008693, ""max_bid"": 9748427.84}"
Fact_CurrencyPriceWithSplit_crypto,DWH_dbo.Fact_CurrencyPriceWithSplit (joined to crypto Dim_Instrument),Subset actually used in #NOP_1/#NOP_2 inner join,2026-06-06,20260606,2026-06-07T04:00:02,295,795,"{""row_count"": 795, ""distinct_instruments"": 795, ""sum_bid"": 13331083.580223}"
Fact_SnapshotCustomer,DWH_dbo.Fact_SnapshotCustomer @ @dateid (via Dim_Range),Exactly what #fsc selects,2026-06-06,20260606,2026-06-07T04:00:02,1966,48001897,"{""row_count"": 48001897, ""distinct_real_cids"": 48001897, ""sum_iscb_valid"": 47244702, ""dlt_user_count"": 98461}"
Dim_Customer,"DWH_dbo.Dim_Customer (TanganyStatusID, RegisteredReal)",Full table size + Tangany distribution + registrations <= @date,2026-06-06,20260606,2026-06-07T04:00:02,814,48001897,"{""row_count"": 48001897, ""distinct_tangany_statuses"": 6, ""registered_real_le_date"": 47995102, ""registered_real_eq_date"": 6795}"
V_GermanBaFin,BI_DB_dbo.V_GermanBaFin @ @dateid,WHERE DateID = @dateid (drives IsGermanBaFin flag),2026-06-06,20260606,2026-06-07T04:00:02,5192,152367,"{""row_count"": 152367, ""distinct_cids"": 152367}"
External_TanganyStatus_dict,BI_DB_dbo.External_UserApiDB_Dictionary_TanganyStatus,Tangany status lookup (full table),2026-06-06,20260606,2026-06-07T04:00:02,2451,6,"{""row_count"": 6, ""max_id"": 6, ""distinct_names"": 6}"
Apex_Enrolment_optout_general,"Apex UserProgramEnrolment + History — opt-out (UserProgramID=2, status=2)",Exactly what #opt_out_general selects,2026-06-06,20260606,2026-06-07T04:00:02,17629,1550769,"{""row_count"": 1550769, ""distinct_gcids"": 1550769}"
Apex_Enrolment_optin_ETH,"Apex UserProgramEnrolment + History — opt-in ETH (UserProgramID=3, status=1)",Exactly what #opt_in_ETH selects,2026-06-06,20260606,2026-06-07T04:00:02,16363,364891,"{""row_count"": 364891, ""distinct_gcids"": 364891}"
BI_DB_Client_Balance_CID_Level_New,BI_DB_dbo.BI_DB_Client_Balance_CID_Level_New @ @dateid,TanganyStatus patch source (UPDATE after #fsc),2026-06-06,20260606,2026-06-07T04:00:02,597,6866153,"{""row_count"": 6866153, ""distinct_cids"": 6865704, ""distinct_tangany_values"": 6, ""sum_total_real_crypto"": 5282452666.83, ""sum_position_pnl_crypto_real"": -1891485640.02}"
Dim_Range,DWH_dbo.Dim_Range,Anchors @DateID -> DateRangeID join used in #fsc,2026-06-06,20260606,2026-06-07T04:00:02,518,1328343,"{""row_count"": 1328343, ""max_id"": 202606061231}"
Dim_Regulation,DWH_dbo.Dim_Regulation,INNER joined in #fsc,2026-06-06,20260606,2026-06-07T04:00:02,47,15,"{""row_count"": 15, ""max_id"": 14}"
