source_id,source_label,scope,target_date,target_dateid,poll_at_utc,elapsed_ms,row_count,fingerprint_json
BI_DB_PositionPnL,BI_DB_dbo.BI_DB_PositionPnL,WHERE DateID = @dateid (crypto + non-crypto; SP filters crypto downstream),2026-06-05,20260605,2026-06-06T04:00:02,9929,139949371,"{""row_count"": 139949371, ""distinct_cids"": 2765083, ""distinct_instruments"": 10487, ""distinct_positions"": 139949371, ""sum_nop"": 14796336686.588, ""sum_units"": 14085536554.841703, ""sum_amount"": 15021513810.984, ""sum_position_pnl"": -818905012.44}"
BI_DB_PositionPnL_crypto_only,BI_DB_dbo.BI_DB_PositionPnL (joined to crypto Dim_Instrument),Exactly what #pnl_posDist produces in the SP,2026-06-05,20260605,2026-06-06T04:00:02,2910,24407658,"{""row_count"": 24407658, ""distinct_cids"": 1609873, ""distinct_instruments"": 290, ""sum_nop"": 3478823311.9292, ""sum_units"": 11431166620.25163}"
Dim_Position_matched_to_crypto_PnL,DWH_dbo.Dim_Position (intersected with crypto PositionPnL @dateid),Mirrors the SP's #pos join: only positions whose PositionID is in crypto PositionPnL @dateid AND satisfy OpenDateID <= @dateid AND (CloseDateID > @dateid OR CloseDateID = 0),2026-06-05,20260605,2026-06-06T04:00:02,5533,24407658,"{""row_count"": 24407658, ""distinct_positions"": 24407658, ""opened_on_date"": 109069, ""closed_on_date"": 0, ""sum_initial_amount_cents"": 549537546014.0}"
Dim_Instrument_crypto,DWH_dbo.Dim_Instrument (InstrumentTypeID = 10),All-time crypto instruments referenced by the SP,2026-06-05,20260605,2026-06-06T04:00:02,68,823,"{""row_count"": 823, ""max_instrument_id"": 228002, ""distinct_buy_currencies"": 706, ""distinct_sell_currencies"": 24}"
Fact_CurrencyPriceWithSplit,DWH_dbo.Fact_CurrencyPriceWithSplit,WHERE OccurredDateID = @dateid (drives EOD_Bid_Price),2026-06-05,20260605,2026-06-06T04:00:02,217,16013,"{""row_count"": 16013, ""distinct_instruments"": 16013, ""sum_bid"": 20082988.661712, ""sum_ask"": 20126331.857454, ""max_bid"": 9776410.5}"
Fact_CurrencyPriceWithSplit_crypto,DWH_dbo.Fact_CurrencyPriceWithSplit (joined to crypto Dim_Instrument),Subset actually used in #NOP_1/#NOP_2 inner join,2026-06-05,20260605,2026-06-06T04:00:02,479,795,"{""row_count"": 795, ""distinct_instruments"": 795, ""sum_bid"": 13379978.363999}"
Fact_SnapshotCustomer,DWH_dbo.Fact_SnapshotCustomer @ @dateid (via Dim_Range),Exactly what #fsc selects,2026-06-05,20260605,2026-06-06T04:00:02,2192,47995102,"{""row_count"": 47995102, ""distinct_real_cids"": 47995102, ""sum_iscb_valid"": 47238020, ""dlt_user_count"": 98461}"
Dim_Customer,"DWH_dbo.Dim_Customer (TanganyStatusID, RegisteredReal)",Full table size + Tangany distribution + registrations <= @date,2026-06-05,20260605,2026-06-06T04:00:02,1368,47995102,"{""row_count"": 47995102, ""distinct_tangany_statuses"": 6, ""registered_real_le_date"": 47986231, ""registered_real_eq_date"": 8871}"
V_GermanBaFin,BI_DB_dbo.V_GermanBaFin @ @dateid,WHERE DateID = @dateid (drives IsGermanBaFin flag),2026-06-05,20260605,2026-06-06T04:00:02,4206,152342,"{""row_count"": 152342, ""distinct_cids"": 152342}"
External_TanganyStatus_dict,BI_DB_dbo.External_UserApiDB_Dictionary_TanganyStatus,Tangany status lookup (full table),2026-06-05,20260605,2026-06-06T04:00:02,2308,6,"{""row_count"": 6, ""max_id"": 6, ""distinct_names"": 6}"
