correction_id,target,wiki_path,column_name,status,edited_line_no,old_desc,new_desc,notes
V_Fact_SnapshotEquity.AUM,wikis,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity.md,AUM,dry_run,43,Assets Under Management. Formula: TotalMirrorPositionAmount + TotalCash - Credit. (Tier 1 — inherited from Fact_SnapshotEquity wiki),"Assets Under Management. Formula: TotalMirrorPositionAmount + TotalCash - Credit. For MERGE INSERT: computed as TotalMirrorPositionsAmount + TotalMirrorCash. Confluence: ""AUC (or AUM) on PI Dashboard: Total Unrealized Copy Amount of the Copiers."" (Tier 2 — via Fact_SnapshotEquity)",L1-structural
V_Fact_SnapshotEquity.BonusCredit,wikis,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity.md,BonusCredit,dry_run,44,Bonus credit balance from History.ActiveCredit.BonusCredit. ISNULL to 0 in ETL. (Tier 1 — inherited from Fact_SnapshotEquity wiki),"Bonus credit balance from History.ActiveCredit.BonusCredit. Confluence: ""History.Credit.CreditTypeID = 5, 7 → BackOffice.BonusType.BonusTypeID → History.Credit.BonusTypeID"". ISNULL to 0 in ETL (Tier 2 — via Fact_SnapshotEquity)",L1-structural
V_Fact_SnapshotEquity.CID,wikis,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity.md,CID,dry_run,32,Customer ID. Grouping key for all equity aggregations. FK to Dim_Customer (CID = RealCID). HASH distribution key and part of PK. (Tier 1 — inherited from Fact_SnapshotEquity wiki),Customer ID. Grouping key for all equity aggregations. FK to Dim_Customer (CID = RealCID). HASH distribution key and part of PK (Tier 2 — via Fact_SnapshotEquity),L1-structural
V_Fact_SnapshotEquity.Credit,wikis,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity.md,Credit,dry_run,42,Outstanding credit/bonus balance from History.ActiveCredit. Last credit event per CID per day. (Tier 1 — inherited from Fact_SnapshotEquity wiki),"Outstanding credit/bonus balance from History.ActiveCredit. Last credit event per CID per day (selected via ROW_NUMBER partition by CID, ordered by Occurred DESC, CreditID DESC). Negative values represent outstanding obligations (Tier 2 — via Fact_SnapshotEquity)",L1-structural
V_Fact_SnapshotEquity.CreditID,wikis,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity.md,CreditID,dry_run,45,Last CreditID for this CID on this date from History.ActiveCredit. Audit column. (Tier 1 — inherited from Fact_SnapshotEquity wiki),"Last CreditID for this CID on this date from History.ActiveCredit. Selected as the most recent credit event via ROW_NUMBER(PARTITION BY CID, DateID ORDER BY Occurred DESC, CreditID DESC). Used for auditing which credit record drives the snapshot (Tier 2 — via Fact_SnapshotEquity)",L1-structural
V_Fact_SnapshotEquity.DateRangeID,wikis,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity.md,DateRangeID,dry_run,33,Encoded date range as 12-digit bigint (YYYYMMDDYYYY). Decoded via Dim_Range. Part of PK. (Tier 1 — inherited from Fact_SnapshotEquity wiki),"Encoded date range as 12-digit bigint (YYYYMMDDYYYY). FromDate in first 8 digits, ToDate suffix in last 4 digits. New rows get @date+1231; updated rows get end-date set to @daybefore. Decoded via Dim_Range. Part of PK (Tier 2 — via Fact_SnapshotEquity)",L1-structural
V_Fact_SnapshotEquity.InProcessCashouts,wikis,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity.md,InProcessCashouts,dry_run,36,Sum of pending withdrawal amounts not yet finalized. (Tier 1 — inherited from Fact_SnapshotEquity wiki),"Sum of pending withdrawal amounts for this CID that have not yet been finalized (statuses other than 3=Processed, 4=Cancelled, 5,6). Includes partially processed amounts for split-payment withdrawals plus associated fees. Computed by SP_Fact_SnapshotEquity_InProcessCashouts from Billing.Withdraw, History.WithdrawAction, and History.WithdrawToFundingAction (Tier 2 — via Fact_SnapshotEquity)",L1-structural
V_Fact_SnapshotEquity.RealizedEquity,wikis,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity.md,RealizedEquity,dry_run,41,Total account value. From History.ActiveCredit.RealizedEquity if non-zero; otherwise TotalCash + TotalPositionsAmount + InProcessCashouts. (Tier 1 — inherited from Fact_SnapshotEquity wiki),"Customer's **settled (realized) equity** — the realized portion of customer balance. **Excludes unrealized PnL on open positions** (the unrealized component is `Fact_CustomerUnrealized_PnL.PositionPnL`). Computed as `History.ActiveCredit.RealizedEquity` if non-zero, otherwise `TotalCash + TotalPositionsAmount + InProcessCashouts` (cash + invested principal in open positions + pending cashouts). Together with PositionPnL it sums to the customer's full `Balance` per V_Liabilities: `Balance = Reali",L1-structural
V_Fact_SnapshotEquity.TotalCash,wikis,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity.md,TotalCash,dry_run,35,Customer's total cash balance for the day. Running-balance approach. (Tier 1 — inherited from Fact_SnapshotEquity wiki),Customer's total cash balance for the day. Computed as: previous day's TotalCash (from last row in current year) + sum of TotalCashChange from History.ActiveCredit for @dt. This running-balance approach was introduced 2020-06-07 replacing the direct History.Credit.TotalCash read (Tier 2 — via Fact_SnapshotEquity),L1-structural
V_Fact_SnapshotEquity.TotalCashCalculation,wikis,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity.md,TotalCashCalculation,dry_run,54,Parallel computation of TotalCash for validation/audit. Cross-check column. (Tier 1 — inherited from Fact_SnapshotEquity wiki),Parallel computation of TotalCash (same formula: TotalCashPreviousDate + TotalCashChangeAll). Exists as a validation/audit column to cross-check TotalCash (Tier 2 — via Fact_SnapshotEquity),L1-structural
V_Fact_SnapshotEquity.TotalCryptoPositionAmount,wikis,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity.md,TotalCryptoPositionAmount,dry_run,49,Sum of position amounts where InstrumentTypeID = 10 AND instrument is NOT a future. (Tier 1 — inherited from Fact_SnapshotEquity wiki),"Sum of position amounts where InstrumentTypeID = 10 AND instrument is NOT a future. Represents CFD and real crypto positions. Confluence: ""TotalCryptoPositionAmount + TotalStockPositionAmount = TotalPositionsAmount"" (approximately, excluding other types) (Tier 2 — via Fact_SnapshotEquity)",L1-structural
V_Fact_SnapshotEquity.TotalCryptoPositionAmount_TRS,wikis,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity.md,TotalCryptoPositionAmount_TRS,dry_run,55,Crypto positions where SettlementTypeID = 2 (TRS). (Tier 1 — inherited from Fact_SnapshotEquity wiki),Sum of crypto position amounts where SettlementTypeID = 2 (TRS — Total Return Swap) AND instrument is NOT a future. Added 2022-01-27 (Inbal BML). TRS positions have different regulatory treatment than settled positions (Tier 2 — via Fact_SnapshotEquity),L1-structural
V_Fact_SnapshotEquity.TotalMirrorCash,wikis,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity.md,TotalMirrorCash,dry_run,38,Cash available for copy-trading. Formula: TotalCash - Credit. (Tier 1 — inherited from Fact_SnapshotEquity wiki),Cash available for copy-trading. Formula: TotalCash - Credit (Tier 2 — via Fact_SnapshotEquity),L1-structural
V_Fact_SnapshotEquity.TotalMirrorCryptoPositionAmount,wikis,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity.md,TotalMirrorCryptoPositionAmount,dry_run,50,Mirror subset of TotalCryptoPositionAmount. MirrorID > 0 AND ParentPositionID != 0. (Tier 1 — inherited from Fact_SnapshotEquity wiki),Mirror (copy-trading) subset of TotalCryptoPositionAmount. Same conditions plus MirrorID > 0 AND ParentPositionID != 0 (Tier 2 — via Fact_SnapshotEquity),L1-structural
V_Fact_SnapshotEquity.TotalMirrorCryptoPositionAmount_TRS,wikis,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity.md,TotalMirrorCryptoPositionAmount_TRS,dry_run,56,Mirror subset of TRS crypto positions. (Tier 1 — inherited from Fact_SnapshotEquity wiki),Mirror (copy-trading) subset of TotalCryptoPositionAmount_TRS. TRS crypto positions in copy relationships. Added 2022-01-27 (Tier 2 — via Fact_SnapshotEquity),L1-structural
V_Fact_SnapshotEquity.TotalMirrorPositionsAmount,wikis,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity.md,TotalMirrorPositionsAmount,dry_run,37,Sum of copy-trading position amounts (MirrorID > 0 AND ParentPositionID != 0). (Tier 1 — inherited from Fact_SnapshotEquity wiki),"Sum of position amounts where MirrorID > 0 AND ParentPositionID != 0 (copy-trading positions only, excluding the parent/guru's own positions). Represents the CID's total investment in copy relationships (Tier 2 — via Fact_SnapshotEquity)",L1-structural
V_Fact_SnapshotEquity.TotalMirrorRealFuturesPositionAmount,wikis,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity.md,TotalMirrorRealFuturesPositionAmount,dry_run,58,Futures position amounts where MirrorID > 0. (Tier 1 — inherited from Fact_SnapshotEquity wiki),Sum of futures position amounts where MirrorID > 0. From Dim_Instrument_Snapshot.IsFuture = 1. Added 2024-10-30 (Daniel Kaplan) (Tier 2 — via Fact_SnapshotEquity),L1-structural
V_Fact_SnapshotEquity.TotalMirrorStockOrders,wikis,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity.md,TotalMirrorStockOrders,dry_run,40,"Legacy column, hardcoded to 0. Kept for schema compatibility. (Tier 1 — inherited from Fact_SnapshotEquity wiki)","Legacy column, hardcoded to 0. Removed 2019-03-03 alongside TotalStockOrders. Kept for schema compatibility (Tier 2 — via Fact_SnapshotEquity)",L1-structural
V_Fact_SnapshotEquity.TotalMirrorStockPositionAmount,wikis,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity.md,TotalMirrorStockPositionAmount,dry_run,48,Mirror (copy-trading) subset of TotalStockPositionAmount. (Tier 1 — inherited from Fact_SnapshotEquity wiki),Mirror (copy-trading) subset of TotalStockPositionAmount. Adds MirrorID > 0 AND ParentPositionID != 0. Same mutual exclusivity fix with futures (Tier 2 — via Fact_SnapshotEquity),L1-structural
V_Fact_SnapshotEquity.TotalPositionsAmount,wikis,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity.md,TotalPositionsAmount,dry_run,34,Sum of all open position amounts (NewAmount) for this CID on this date. Includes all asset classes. (Tier 1 — inherited from Fact_SnapshotEquity wiki),"Sum of all open position amounts (NewAmount) for this CID on this date. Includes all asset classes: CFD, stocks, crypto, futures, margin. Source: open positions (Trade.OpenPositionEndOfDay) + same-day closed positions (History.ClosePositionEndOfDay) minus History.Credit CreditTypeID=13 adjustments (Tier 2 — via Fact_SnapshotEquity)",L1-structural
V_Fact_SnapshotEquity.TotalRealCrypto,wikis,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity.md,TotalRealCrypto,dry_run,52,"Settled crypto positions (IsSettled = 1, InstrumentTypeID = 10, NOT future). (Tier 1 — inherited from Fact_SnapshotEquity wiki)",Sum of position amounts where IsSettled = 1 AND InstrumentTypeID = 10 AND instrument is NOT a future. Real crypto ownership (settled positions). Updated via IsSettled change tracking (Tier 2 — via Fact_SnapshotEquity),L1-structural
V_Fact_SnapshotEquity.TotalRealCryptoLoan,wikis,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity.md,TotalRealCryptoLoan,dry_run,53,"Sum of InitialAmount for leveraged real crypto (IsSettled = 1, Leverage = 2). (Tier 1 — inherited from Fact_SnapshotEquity wiki)",Sum of InitialAmount where IsSettled = 1 AND InstrumentTypeID = 10 AND NOT future AND Leverage = 2. Represents the initial investment in leveraged real crypto positions (the loan portion). Changed from Amount to InitialAmount on 2020-03-25 (Tier 2 — via Fact_SnapshotEquity),L1-structural
V_Fact_SnapshotEquity.TotalRealFutures,wikis,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity.md,TotalRealFutures,dry_run,59,Sum of all futures position amounts (IsFuture = 1). (Tier 1 — inherited from Fact_SnapshotEquity wiki),Sum of all futures position amounts. Identified via JOIN to Dim_Instrument_Snapshot where IsFuture = 1 for the snapshot DateID. Added 2024-10-30 (Tier 2 — via Fact_SnapshotEquity),L1-structural
V_Fact_SnapshotEquity.TotalRealStocks,wikis,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity.md,TotalRealStocks,dry_run,51,"Sum of position amounts where IsSettled = 1 AND InstrumentTypeID IN (5,6) AND NOT future. (Tier 1 — inherited from Fact_SnapshotEquity wiki)","Sum of position amounts where IsSettled = 1 AND InstrumentTypeID IN (5,6) AND instrument is NOT a future. ""Real"" means the customer owns the underlying asset (settled/delivered). Updated via IsSettled change tracking from History.PositionChangeLog (Tier 2 — via Fact_SnapshotEquity)",L1-structural
V_Fact_SnapshotEquity.TotalStockOrders,wikis,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity.md,TotalStockOrders,dry_run,39,"Legacy column, hardcoded to 0. Kept for schema compatibility. (Tier 1 — inherited from Fact_SnapshotEquity wiki)","Legacy column, hardcoded to 0. Removed 2019-03-03 (Boris Slutski) — no data in PROD since 2015. Kept for schema compatibility (Tier 2 — via Fact_SnapshotEquity)",L1-structural
V_Fact_SnapshotEquity.TotalStockPositionAmount,wikis,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity.md,TotalStockPositionAmount,dry_run,47,"Sum of position amounts where InstrumentTypeID IN (5,6) AND instrument is NOT a future. (Tier 1 — inherited from Fact_SnapshotEquity wiki)","Sum of position amounts where InstrumentTypeID IN (5,6) AND instrument is NOT a future. Represents CFD and real stock positions (excluding futures that also have InstrumentTypeID 5/6). Added with mutual exclusivity fix (Guy M, 2025-07-29) (Tier 2 — via Fact_SnapshotEquity)",L1-structural
V_Fact_SnapshotEquity.Total_TRSCrypto,wikis,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity.md,Total_TRSCrypto,dry_run,57,"CFD-style crypto under TRS settlement (IsSettled = 0, SettlementTypeID = 2). (Tier 1 — inherited from Fact_SnapshotEquity wiki)",Sum of crypto position amounts where IsSettled = 0 AND InstrumentTypeID = 10 AND SettlementTypeID = 2. CFD-style crypto positions under TRS settlement (not yet settled to real ownership). Added 2022-01-27 (Tier 2 — via Fact_SnapshotEquity),L1-structural
V_Fact_SnapshotEquity.UpdateDate,wikis,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity.md,UpdateDate,dry_run,46,ETL load timestamp (GETDATE() at MERGE/INSERT time). (Tier 1 — inherited from Fact_SnapshotEquity wiki),ETL load timestamp (GETDATE() at MERGE/INSERT time). Used for detecting recent updates in the year-end carryover and IsSettled change handling (Tier 2 — via Fact_SnapshotEquity),L1-structural
