wiki_path,section_4_title,semantic_header,has_source_column,total,n_transformation,n_semantic,n_trivial,pct_passing,skipped_reason
knowledge/synapse/Wiki/_audit_wiki_alter_column_parity.md,,,False,0,0,0,0,0.0,no_section_4
knowledge/synapse/Wiki/_FOLLOWUPS.md,,,False,0,0,0,0,0.0,no_section_4
knowledge/synapse/Wiki/_preflight_report_2026-05-03.md,,,False,0,0,0,0,0.0,no_section_4
knowledge/synapse/Wiki/_preflight_report_2026-05-14.md,,,False,0,0,0,0,0.0,no_section_4
knowledge/synapse/Wiki/_semantic_index.md,,,False,0,0,0,0,0.0,no_section_4
knowledge/synapse/Wiki/BI_DB_dbo/_deploy-index.md,,,False,0,0,0,0,0.0,no_section_4
knowledge/synapse/Wiki/BI_DB_dbo/_index.md,,,False,0,0,0,0,0.0,no_section_4
knowledge/synapse/Wiki/BI_DB_dbo/Functions/DateToDateID.lineage.md,,,False,0,0,0,0,0.0,no_section_4
knowledge/synapse/Wiki/BI_DB_dbo/Functions/DateToDateID.md,Output Columns,,False,0,0,0,0,0.0,no_column_table
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_AUM_OptionsPlatform.lineage.md,,,False,0,0,0,0,0.0,no_section_4
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_AUM_OptionsPlatform.md,Output Columns,Transformation,True,9,7,0,2,77.8,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_DDR_Aggregation_MoM.lineage.md,,,False,0,0,0,0,0.0,no_section_4
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_DDR_Aggregation_MoM.md,Output Columns,Transformation,True,129,123,6,0,100.0,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_DDR_Aggregation_ThisMonth.lineage.md,,,False,0,0,0,0,0.0,no_section_4
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_DDR_Aggregation_ThisMonth.md,Output Columns,Transformation,True,238,237,0,1,99.6,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_DDR_Aggregation_ThisQuarter.lineage.md,,,False,0,0,0,0,0.0,no_section_4
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_DDR_Aggregation_ThisQuarter.md,Output Columns,Transformation,True,238,237,0,1,99.6,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_DDR_Aggregation_ThisWeek.lineage.md,,,False,0,0,0,0,0.0,no_section_4
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_DDR_Aggregation_ThisWeek.md,Output Columns,Transformation,True,238,237,0,1,99.6,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_DDR_Aggregation_ThisYear.lineage.md,,,False,0,0,0,0,0.0,no_section_4
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_DDR_Aggregation_ThisYear.md,Output Columns,Transformation,True,238,237,0,1,99.6,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_DDR_Aggregation_Yesterday.lineage.md,,,False,0,0,0,0,0.0,no_section_4
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_DDR_Aggregation_Yesterday.md,Output Columns,Transformation,True,238,237,0,1,99.6,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_DDR_Aggregation_YoY.lineage.md,,,False,0,0,0,0,0.0,no_section_4
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_DDR_Aggregation_YoY.md,Output Columns,Transformation,True,129,123,6,0,100.0,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Instrument_Conversion_Rates.lineage.md,,,False,0,0,0,0,0.0,no_section_4
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Instrument_Conversion_Rates.md,Output Columns,Transformation,True,10,1,3,6,40.0,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Instrument_Snapshot_Enriched.lineage.md,,,False,0,0,0,0,0.0,no_section_4
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Instrument_Snapshot_Enriched.md,Output Columns,Transformation,True,50,3,0,47,6.0,
