class,phrase,table_fqn,query_count,unique_users,owning_skill_id,hub_skill_id,genie_space_id,genie_space_name,registered_table_count,actual_used_table_count,unused_registered_count,unregistered_used_count,used_not_documented_count,top_used_tables,unused_registered_sample,unregistered_used_sample,used_not_documented_sample,suggested_action
A,ftd_funnel_v,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,1211,,position-state-and-grain,domain-trading,,,,,,,,,,,,PROMOTE phrase 'ftd_funnel_v' to hub 'domain-trading' triggers (used on 1 of its owned tables)
A,firsttimedeposit_date,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,830,,customer-action-audit-trail,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'firsttimedeposit_date' to hub 'domain-customer-and-identity' triggers (used on 1 of its owned tables)
A,firsttimedeposit_date,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,830,,position-state-and-grain,domain-trading,,,,,,,,,,,,PROMOTE phrase 'firsttimedeposit_date' to hub 'domain-trading' triggers (used on 1 of its owned tables)
A,registration_date,"main.etoro_kpi.customer_snapshot_v, main.etoro_kpi.kyc_for_compliance_v, main.etoro_kpi.positions_for_compliance_v",766,,compliance-customer-snapshot-and-club,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'registration_date' to hub 'domain-customer-and-identity' triggers (used on 3 of its owned tables)
A,ddr_revenue_v,"main.etoro_kpi.customer_snapshot_v, main.etoro_kpi.ddr_mimo_v, main.etoro_kpi.ddr_revenue_v",526,,compliance-customer-snapshot-and-club,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'ddr_revenue_v' to hub 'domain-customer-and-identity' triggers (used on 5 of its owned tables)
A,revenueamount,"main.etoro_kpi.customer_snapshot_v, main.etoro_kpi.ddr_mimo_v, main.etoro_kpi.ddr_revenue_v",456,,compliance-customer-snapshot-and-club,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'revenueamount' to hub 'domain-customer-and-identity' triggers (used on 4 of its owned tables)
A,calendaryearmonth,"main.bi_output.bi_output_vg_revenue, main.etoro_kpi.customer_snapshot_v, main.etoro_kpi.ddr_mimo_v",362,,compliance-customer-snapshot-and-club,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'calendaryearmonth' to hub 'domain-customer-and-identity' triggers (used on 6 of its owned tables)
A,ftd_count,"main.bi_output.bi_output_vg_customer_first_dates, main.etoro_kpi.customer_snapshot_v, main.etoro_kpi.ddr_mimo_v",355,,compliance-customer-snapshot-and-club,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'ftd_count' to hub 'domain-customer-and-identity' triggers (used on 4 of its owned tables)
A,ftd_count,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_revenue_generating_actions,355,,trading-revenue-and-fees,domain-revenue-and-fees,,,,,,,,,,,,PROMOTE phrase 'ftd_count' to hub 'domain-revenue-and-fees' triggers (used on 1 of its owned tables)
A,ftd_count,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_revenue_generating_actions,355,,hedge-cost-recon,domain-trading,,,,,,,,,,,,PROMOTE phrase 'ftd_count' to hub 'domain-trading' triggers (used on 1 of its owned tables)
A,caseid,"main.etoro_kpi.vg_crm_case, main.etoro_kpi_stg.crm_user_v",297,,crm-cases-csat-and-churn,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'caseid' to hub 'domain-customer-and-identity' triggers (used on 2 of its owned tables)
A,caseid,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,297,,deposits-and-withdrawals,domain-payments,,,,,,,,,,,,PROMOTE phrase 'caseid' to hub 'domain-payments' triggers (used on 1 of its owned tables)
A,caseid,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,297,,position-state-and-grain,domain-trading,,,,,,,,,,,,PROMOTE phrase 'caseid' to hub 'domain-trading' triggers (used on 1 of its owned tables)
A,isactivetrade,"main.etoro_kpi.ddr_aum_v, main.etoro_kpi.ddr_revenue_v",284,,compliance-customer-snapshot-and-club,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'isactivetrade' to hub 'domain-customer-and-identity' triggers (used on 2 of its owned tables)
A,ddr_mimo_v,"main.etoro_kpi.customer_snapshot_v, main.etoro_kpi.ddr_aum_v, main.etoro_kpi.ddr_mimo_v",281,,compliance-customer-snapshot-and-club,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'ddr_mimo_v' to hub 'domain-customer-and-identity' triggers (used on 6 of its owned tables)
A,ddr_mimo_v,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_revenue_generating_actions,281,,trading-revenue-and-fees,domain-revenue-and-fees,,,,,,,,,,,,PROMOTE phrase 'ddr_mimo_v' to hub 'domain-revenue-and-fees' triggers (used on 1 of its owned tables)
A,ddr_mimo_v,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_revenue_generating_actions,281,,hedge-cost-recon,domain-trading,,,,,,,,,,,,PROMOTE phrase 'ddr_mimo_v' to hub 'domain-trading' triggers (used on 1 of its owned tables)
A,customer_snapshot_v,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_balance_cid_level_new,280,,finance-recon-and-balances,domain-payments,,,,,,,,,,,,PROMOTE phrase 'customer_snapshot_v' to hub 'domain-payments' triggers (used on 1 of its owned tables)
A,customer_snapshot_v,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_instrument,280,,instruments-and-asset-classes,domain-trading,,,,,,,,,,,,PROMOTE phrase 'customer_snapshot_v' to hub 'domain-trading' triggers (used on 1 of its owned tables)
A,isexcludeuser,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,272,,customer-action-audit-trail,domain-customer-and-identity,,,,,,,,,,,,PROMOTE phrase 'isexcludeuser' to hub 'domain-customer-and-identity' triggers (used on 1 of its owned tables)
A,isexcludeuser,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,272,,deposits-and-withdrawals,domain-payments,,,,,,,,,,,,PROMOTE phrase 'isexcludeuser' to hub 'domain-payments' triggers (used on 1 of its owned tables)
