long_concept,long_hubs,sub_concept,sub_hubs,foreign_hubs
main etoro_kpi_prep v_moneyfarm_aum,cross-cutting; domain-aum-and-aua; domain-moneyfarm; domain-revenue-and-fees,main etoro_kpi_prep,domain-spaceship,domain-spaceship
what is our aum as of today,cross-cutting,what is our aum,domain-aum-and-aua,domain-aum-and-aua
moneyfarm aum today,cross-cutting,moneyfarm aum,domain-moneyfarm,domain-moneyfarm
customer balance for date x where x has no data yet,cross-cutting,customer balance,domain-payments,domain-payments
client balance valid,cross-cutting,client balance,domain-payments,domain-payments
total trading revenue ytd,cross-cutting,trading revenue,domain-revenue-and-fees,domain-revenue-and-fees
net deposits last month by country,cross-cutting,net deposits,domain-payments,domain-payments
non-custodial wallet aum,domain-aum-and-aua,non-custodial wallet,domain-exw-wallet,domain-exw-wallet
non-custodial wallet aum,domain-aum-and-aua,wallet aum,domain-exw-wallet,domain-exw-wallet
etoro wallet aum,domain-aum-and-aua,etoro wallet,domain-exw-wallet,domain-exw-wallet
etoro wallet aum,domain-aum-and-aua,wallet aum,domain-exw-wallet,domain-exw-wallet
on-chain crypto aum,domain-aum-and-aua,crypto aum,domain-exw-wallet,domain-exw-wallet
time-series of risk level for partykey x aml_riskscore_scd scd-2 walk,domain-compliance-and-aml,scd-2 walk,cross-cutting,cross-cutting
first time funded to first trade,domain-cross,first time funded,domain-customer-and-identity,domain-customer-and-identity
operator action audit,domain-cross,action audit,domain-customer-and-identity,domain-customer-and-identity
who authorized transaction x audit trail for one emoney transaction,domain-cross,audit trail,domain-cross; domain-customer-and-identity,domain-customer-and-identity
audit trail for accountid y over a date window,domain-cross,audit trail,domain-cross; domain-customer-and-identity,domain-customer-and-identity
main etoro_kpi_prep v_fact_customeraction_enriched,domain-customer-and-identity,main etoro_kpi_prep,domain-spaceship,domain-spaceship
main etoro_kpi_prep v_fact_customeraction_w_metrics,domain-customer-and-identity; domain-trading,main etoro_kpi_prep,domain-spaceship,domain-spaceship
which positions did this customer open via copy trading,domain-customer-and-identity,copy trading,domain-trading,domain-trading
per-day per-popular-investor copy-trading revenue split by asset class,domain-customer-and-identity,by asset class,domain-trading,domain-trading
popular investor program,domain-customer-and-identity,popular investor,domain-trading,domain-trading
main etoro_kpi_prep gold_de_user_dim_ddr_customer_dailystatus_scd,domain-customer-and-identity,main etoro_kpi_prep,domain-spaceship,domain-spaceship
main etoro_kpi_prep v_population_first_time_funded,domain-customer-and-identity; domain-payments,main etoro_kpi_prep,domain-spaceship,domain-spaceship
